row_id,text,like_count,date
137,@SionSPG @LFC_Char @PolitlcsUK Biden is progressive and he says no genocide,1,2024-06-12
138,"@harrylitman Could holding Garland in contempt be a preemptive strike because members of congress know indictments for some of them are coming?
After indictments, GOP members of Congress will say its just a retaliatory move by Garland because of the contempt vote today.",24,2024-06-12
139,"@Highway_30 @umpteenthacnt Lol you're getting a taste of what MAGA really thinks of you, man. What, you thought they'd swallow their racism because you put on a red hat? They still hate you, no matter how much water you carry for them.",0,2024-06-12
140,@Sassafrass_84 @GOP Yet that’s not going to happen the American people are going to pay. On every level. I literally abhor DC and Congress!,0,2024-06-12
141,@MustangMan_TX Me and my sister used to WWF in the back seat for “going over the line”. Yea that invisible line in the middle of the bucket back seat! 😳🙄🤣😂😆,0,2024-06-12
142,@DesireeAmerica4 A dude,0,2024-06-12
143,"@RepStefanik It would be nice if these Republicans spent more of their time working for the American people then trying to find ways to oust Biden, dismantle the Justice system, all in order to save their felon Dictator.",0,2024-06-12
144,"@RishiSunak Sunak! Did you see how Starmer  shut down the audience when they were laughing at him? 

You allowed  it. 

For God sakes Man grow some.  Your wealth has made you lazy and your playing roulette with the UK and the people who believe. Not in you!!!

But Conservative values.",0,2024-06-12
145,@nspector4 @MariekeWalsh Conservative MP's but not the leader. Obviously some of the MPs are as they are a large part of the group investigating this.,1,2024-06-12
146,"@Bubblebathgirl @JoeBiden The claim that Joe Biden has committed treason by abandoning the U.S. border is not supported by the evidence available. Here are the key points regarding Biden's border policies and the related accusations:

### Biden's Border Policies
1. **Title 42**: Biden continued the use of",0,2024-06-12
147,Biden's Approval Rating Hits NEW LOW as Dems Call to REPLACE Him! https://t.co/rvA2FeFpRh via @YouTube,0,2024-06-12
148,"@SteveGaghagen @KWWMedia @RepEricBurlison Trump is beholden to Putin. Most of GOPs are scared of Trump and his MAGA voters. It’s embarrassing this elected officials are not doing what they’re elected for. It’s became the party of Trump. Makes me wonder about the RNC hacked my Russian military, what they got on them?",1,2024-06-13
149,"@mmpadellan He'll get pardon ,Biden is above the law https://t.co/gEP2I2wuzf",0,2024-06-12
150,@DeadlineWH @today @HillBeverlyhill @DutchyPatrick Trump was at the capital to have a pepp rally with members of the MAGA Hunta house caucus. Some of what he told them was very bizarre.. some of which was reported as being incoherent rambling ie animal Lecter,2,2024-06-13
151,@HouseGOP move the RNC date!,0,2024-06-12
152,@RepRaskin No it’s to see why Hur refused to prosecute because he judges Biden as feeble and of unfit mind.,0,2024-06-12
153,"❤️‍🔥 @TheDailyShow  Swaps Trump For Hunter Biden In Brutal @FoxNews Roast: 'Some Really Good Points!'      

https://t.co/nn2j84ZcCW https://t.co/zMEYCgbUQO",0,2024-06-12
154,@BoSnerdley Things are so much better with Biden. /s for the dolts among us.,0,2024-06-12
155,@lolarites @DougWahl1 That's what they give Biden before his speeches.,0,2024-06-12
